,nodeA,nodeB,weight
270,George H.W. Bush,Saddam Hussein,2
271,Barack Obama,George H.W. Bush,2
272,Bill Clinton,George W. Bush,1
273,Bill Clinton,Saddam Hussein,1
274,Barack Obama,Bill Clinton,3
275,George W. Bush,Saddam Hussein,1
276,Barack Obama,George W. Bush,1
277,Barack Obama,Saddam Hussein,2
278,Donald Trump,Ted Cruz,49
279,Donald Trump,Donald Trump,46
280,Donald Trump,Scott Walker,12
281,Donald Trump,Trump,391
282,Charlie Sykes,Donald Trump,4
283,Cruz,Donald Trump,200
284,Donald Trump,Sykes,4
285,Chris Matthews,Donald Trump,4
286,Barry Burden,Donald Trump,4
287,Donald Trump,Madison,12
288,Donald Trump,Heidi,4
289,Donald Trump,Walker,4
290,Donald Trump,Paul Ryan,21
291,Charles Franklin,Donald Trump,4
292,Donald Trump,Nate Cohn,4
293,Cohn,Donald Trump,8
294,Donald Trump,Paul Manafort,6
295,Donald Trump,John Kasich,11
296,Donald Trump,Kasich,4
297,Donald Trump,Marco Rubio,29
298,Donald Trump,Marquette,4
299,Donald Trump,Tommy Thompson,4
300,Donald Trump,Scott Klug,4
301,Donald Trump,Hillary Clinton,62
302,Clinton,Donald Trump,270
303,Donald Trump,Rich Bonomo,4
304,Donald Trump,Rebecca Forbes Wank,4
305,Scott Walker,Ted Cruz,7
306,Ted Cruz,Ted Cruz,14
307,Ted Cruz,Trump,168
308,Charlie Sykes,Ted Cruz,2
309,Cruz,Ted Cruz,215
310,Sykes,Ted Cruz,2
311,Chris Matthews,Ted Cruz,2
312,Barry Burden,Ted Cruz,2
313,Madison,Ted Cruz,6
314,Heidi,Ted Cruz,5
315,Ted Cruz,Walker,2
316,Paul Ryan,Ted Cruz,11
317,Charles Franklin,Ted Cruz,2
318,Nate Cohn,Ted Cruz,2
319,Cohn,Ted Cruz,4
320,Paul Manafort,Ted Cruz,2
321,John Kasich,Ted Cruz,9
322,Kasich,Ted Cruz,2
323,Marco Rubio,Ted Cruz,25
324,Marquette,Ted Cruz,2
325,Ted Cruz,Tommy Thompson,2
326,Scott Klug,Ted Cruz,2
327,Hillary Clinton,Ted Cruz,15
328,Clinton,Ted Cruz,41
329,Rich Bonomo,Ted Cruz,2
330,Rebecca Forbes Wank,Ted Cruz,2
331,Scott Walker,Trump,28
332,Charlie Sykes,Scott Walker,2
333,Cruz,Scott Walker,25
334,Scott Walker,Sykes,2
335,Chris Matthews,Scott Walker,2
336,Scott Walker,Scott Walker,1
337,Barry Burden,Scott Walker,2
338,Madison,Scott Walker,6
339,Heidi,Scott Walker,2
340,Scott Walker,Walker,2
341,Paul Ryan,Scott Walker,2
342,Charles Franklin,Scott Walker,2
343,Nate Cohn,Scott Walker,2
344,Cohn,Scott Walker,4
345,Paul Manafort,Scott Walker,2
346,John Kasich,Scott Walker,2
347,Kasich,Scott Walker,2
348,Marco Rubio,Scott Walker,3
349,Marquette,Scott Walker,2
350,Scott Walker,Tommy Thompson,2
351,Scott Klug,Scott Walker,2
352,Hillary Clinton,Scott Walker,5
353,Clinton,Scott Walker,9
354,Rich Bonomo,Scott Walker,2
355,Rebecca Forbes Wank,Scott Walker,2
356,Charlie Sykes,Trump,10
357,Cruz,Trump,816
358,Sykes,Trump,10
